fname,true_pairwise_het,true_num_seg,pool_size,read_depth,seq_error,num_sites
100_1000_0.0_1_const_1_pop_theta_0.0007750000000000001.txt,0.001514473467273,81300,100,1000,0,10000000
1000_1000_1e-05_2_const_1_pop_theta_0.0007750000000000001.txt,0.00151458569135,115024,1000,1000,1E-05,10000000
10_10_0.0_1_const_1_pop_theta_0.0007750000000000001.txt,0.001514779925694,44624,10,10,0,10000000
1000_1000_0.001_0_const_1_pop_theta_0.0007750000000000001.txt,0.00151527005595,114361,1000,1000,0.001,10000000
10_10_0.0001_1_const_1_pop_theta_0.0007750000000000001.txt,0.00151595731242,44603,10,10,0.0001,10000000
1000_100_1e-05_6_const_1_pop_theta_0.0007750000000000001.txt,0.0015161568268,116588,1000,100,1E-05,10000000
10_10_0.0001_3_const_1_pop_theta_0.0007750000000000001.txt,0.001517304044702,43801,10,10,0.0001,10000000
100_10_0.001_4_const_1_pop_theta_0.0007750000000000001.txt,0.00151823235157,80261,100,10,0.001,10000000
100_100_1e-05_1_const_1_pop_theta_0.0007750000000000001.txt,0.00151861482595,80542,100,100,1E-05,10000000
100_1000_0.0_5_const_1_pop_theta_0.0007750000000000001.txt,0.001518770030909,79129,100,1000,0,10000000
100_100_0.0_7_const_1_pop_theta_0.0007750000000000001.txt,0.001519932978182,80665,100,100,0,10000000
1000_10_0.001_5_const_1_pop_theta_0.0007750000000000001.txt,0.00152004855055,114057,1000,10,0.001,10000000
1000_1000_0.0001_2_const_1_pop_theta_0.0007750000000000001.txt,0.00152097699015,116006,1000,1000,0.0001,10000000
100_1000_0.0001_1_const_1_pop_theta_0.0007750000000000001.txt,0.001521038009587,79756,100,1000,0.0001,10000000
1000_10_1e-05_5_const_1_pop_theta_0.0007750000000000001.txt,0.0015217310473,114563,1000,10,1E-05,10000000
100_1000_0.0_2_const_1_pop_theta_0.0007750000000000001.txt,0.001522061709421,83211,100,1000,0,10000000
1000_1000_0.0_3_const_1_pop_theta_0.0007750000000000001.txt,0.00152251769475,116097,1000,1000,0,10000000
100_100_1e-05_7_const_1_pop_theta_0.0007750000000000001.txt,0.001522681979339,78360,100,100,1E-05,10000000
100_10_0.001_2_const_1_pop_theta_0.0007750000000000001.txt,0.001522875356364,78851,100,10,0.001,10000000
10_1000_0.0_8_const_1_pop_theta_0.0007750000000000001.txt,0.001522959701402,44666,10,1000,0,10000000
100_100_0.0_6_const_1_pop_theta_0.0007750000000000001.txt,0.001523367198182,79981,100,100,0,10000000
10_100_1e-05_9_const_1_pop_theta_0.0007750000000000001.txt,0.001523426203509,44234,10,100,1E-05,10000000
10_100_0.0001_5_const_1_pop_theta_0.0007750000000000001.txt,0.001524461163807,44887,10,100,0.0001,10000000
100_1000_0.0_9_const_1_pop_theta_0.0007750000000000001.txt,0.001524977137025,79846,100,1000,0,10000000
10_1000_0.0_6_const_1_pop_theta_0.0007750000000000001.txt,0.001525006470934,44944,10,1000,0,10000000
1000_10_0.001_6_const_1_pop_theta_0.0007750000000000001.txt,0.00152534494085,113966,1000,10,0.001,10000000
10_1000_0.0001_3_const_1_pop_theta_0.0007750000000000001.txt,0.00152538387962,44072,10,1000,0.0001,10000000
10_1000_0.0_1_const_1_pop_theta_0.0007750000000000001.txt,0.001525670770317,43577,10,1000,0,10000000
100_1000_0.0001_4_const_1_pop_theta_0.0007750000000000001.txt,0.001525864988099,80946,100,1000,0.0001,10000000
10_100_1e-05_1_const_1_pop_theta_0.0007750000000000001.txt,0.001526029945692,45502,10,100,1E-05,10000000
