fname,true_pi_w,true_pi_b,true_pi_t,true_hudson_fst,true_nei_fst,pool_size,read_depth,seq_error,num_sites
1000_1000_0.0001_9_stat_2_pop_beta_0.325.txt,0.065352007754719,0.09667609567274,0.08101405171373,0.32401068433769,0.193325029765866,1000,1000,0.0001,1000
10_10_0.0001_7_const_2_pop_t_div_1.0.txt,0.0019151336418,0.002834443434957,0.002374788538379,0.324335205218659,0.193556137378295,10,10,0.0001,1000000
100_1000_1e-05_8_const_2_pop_t_div_1.0.txt,0.00211376223967,0.003128530619835,0.002621146429752,0.324359420915227,0.193573386180676,100,1000,1E-05,1000000
10_10_0.0_2_const_2_pop_t_div_1.0.txt,0.002298395410254,0.003402004911283,0.002850200160769,0.324399737745498,0.193602104901194,10,10,0,1000000
10_100_0.0_7_stat_2_pop_beta_0.325.txt,0.070066106562392,0.103711771504657,0.086888939033524,0.324415102105884,0.193613049696026,10,100,0,1000
100_100_0.0_9_const_2_pop_t_div_1.0.txt,0.001927447461984,0.002853234614876,0.00239034103843,0.324469340188714,0.193651687773484,100,100,0,1000000
100_10_0.0001_8_const_2_pop_t_div_0.75.txt,0.001801608107438,0.002667827700826,0.002234717904132,0.324690981025476,0.193809606077437,100,10,0.0001,1000000
100_100_1e-05_9_const_2_pop_t_div_1.0.txt,0.001873150592562,0.002773812646281,0.002323481619421,0.324701834107805,0.193817339932942,100,100,1E-05,1000000
10_1000_1e-05_0_const_2_pop_t_div_1.0.txt,0.001990206977747,0.002947427205176,0.002468817091462,0.3247646712861,0.193862119380818,10,1000,1E-05,1000000
100_1000_0.0001_7_const_2_pop_t_div_1.0.txt,0.002096922471901,0.003105915100826,0.002601418786364,0.324861625695117,0.193931218267201,100,1000,0.0001,1000000
10_1000_0.0_1_stat_2_pop_beta_0.325.txt,0.071761625030247,0.106300470066913,0.08903104754858,0.324917143027917,0.193970788773544,10,1000,0,1000
10_1000_0.001_9_stat_2_pop_beta_0.325.txt,0.076283322307553,0.1130065318879,0.094644927097727,0.324965371176737,0.194005165973811,10,1000,0.001,1000
10_1000_0.0001_3_stat_2_pop_beta_0.325.txt,0.073350224800612,0.108682112589468,0.09101616869504,0.325093862706897,0.194096764868447,10,1000,0.0001,1000
100_10_1e-05_7_stat_2_pop_beta_0.325.txt,0.075906639426781,0.112507467367163,0.094207053396972,0.325319099228648,0.19425736513673,100,10,1E-05,1000
100_1000_0.001_8_const_2_pop_t_div_1.0.txt,0.002193148369422,0.003251962181818,0.00272255527562,0.325592289577183,0.194452215879334,100,1000,0.001,1000000
10_10_0.0001_0_const_2_pop_t_div_1.0.txt,0.002030932498775,0.00301169172238,0.002521312110577,0.325650602389822,0.194493815242284,10,10,0.0001,1000000
100_10_0.0001_3_stat_2_pop_beta_0.325.txt,0.074328783903616,0.110229000016937,0.092278891960277,0.325687578657202,0.194520194980099,100,10,0.0001,1000
1000_10_0.001_8_const_2_pop_t_div_1.0.txt,0.002144926997,0.003180915292,0.0026629211445,0.325688740472143,0.194521023865061,1000,10,0.001,1000000
1000_10_0.0_4_stat_2_pop_beta_0.325.txt,0.072770166451015,0.107947669613236,0.090358918032126,0.3258755217992,0.194654296046984,1000,10,0,1000
100_100_1e-05_1_stat_2_pop_beta_0.325.txt,0.074219256944347,0.110100534514816,0.092159895729581,0.325895580149438,0.19466860984605,100,100,1E-05,1000
10_10_0.001_0_const_2_pop_t_div_1.0.txt,0.00208347622488,0.003091517651211,0.002587496938045,0.326066851320087,0.194790844292212,10,10,0.001,1000000
100_100_0.001_1_const_2_pop_t_div_1.0.txt,0.002118184352893,0.003144129755372,0.002631157054132,0.326305045371095,0.194960882488541,100,100,0.001,1000000
10_10_0.0_0_const_2_pop_t_div_1.0.txt,0.002162530539163,0.003210188065876,0.002686359302519,0.326353941019708,0.194995793327138,10,10,0,1000000
100_1000_1e-05_9_stat_2_pop_beta_0.325.txt,0.07183501858324,0.106663596415242,0.089249307499241,0.326527315808985,0.195119597047283,100,1000,1E-05,1000
100_100_0.0001_1_const_2_pop_t_div_1.0.txt,0.002118289814876,0.0031463098,0.002632299807438,0.32673832218424,0.195270307397897,100,100,0.0001,1000000
10_10_0.0_5_const_2_pop_t_div_1.0.txt,0.001946532363494,0.002891437394373,0.002418984878933,0.326794221005157,0.195310239247129,10,10,0,1000000
1000_100_1e-05_5_const_2_pop_t_div_0.75.txt,0.00189650785075,0.0028175080345,0.002357007942625,0.326884669882946,0.195374857906598,1000,100,1E-05,1000000
10_10_0.001_0_const_2_pop_t_div_0.75.txt,0.001755451513577,0.002607984997549,0.002181718255563,0.326893553748707,0.195381205111692,10,10,0.001,1000000
10_100_0.0001_1_const_2_pop_t_div_1.0.txt,0.002210191591021,0.003283762942849,0.002746977266935,0.326933268482787,0.195409580696339,10,100,0.0001,1000000
1000_100_0.0_8_const_2_pop_t_div_1.0.txt,0.002015811131,0.002995023472,0.0025054173015,0.326946466414898,0.195419010720071,1000,100,0,1000000
10_1000_0.0001_7_const_2_pop_t_div_1.0.txt,0.001818191123419,0.002701997221841,0.00226009417263,0.327093636987366,0.195524175303109,10,1000,0.0001,1000000
10_10_0.0_3_stat_2_pop_beta_0.325.txt,0.072402958688732,0.107648694837472,0.090025826763102,0.327414430820128,0.195753471064964,10,10,0,1000
100_10_0.0001_8_const_2_pop_t_div_1.0.txt,0.001919411401653,0.002853967699174,0.002386689550413,0.327458610618167,0.195785056619227,100,10,0.0001,1000000
1000_100_0.0_6_const_2_pop_t_div_1.0.txt,0.00208770057775,0.003104354194,0.002596027385875,0.32749279003505,0.19580949372525,1000,100,0,1000000
1000_1000_1e-05_0_const_2_pop_t_div_1.0.txt,0.00185702272525,0.0027613867825,0.002309204753875,0.327503580078452,0.195817208442117,1000,1000,1E-05,1000000
